experiment,target-gene,width_px,width
hhx1,dpp,41.79233477,17.3495327253193
hhx1,dpp,44.34247723,18.4081904985088
hhx1,dpp,37.52209621,15.5767999012412
hhx1,dpp,46.13257724,19.1513267428945
hhx1,dpp,40.37225543,16.7600056477471
hhx1,dpp,43.23241522,17.9473629980684
hhx1,dpp,48.65271803,20.1975297212432
hhx1,dpp,49.18274764,20.4175644743789
hhx1,dpp,51.53287893,21.3931902667412
hhx1,dpp,53.04296329,22.0200817329873
hhx1,dpp,44.53248785,18.4870708838232
hhx1,dpp,50.72283368,21.0569107396172
hhx1,dpp,38.83216939,16.1206593825088
hhx1,dpp,55.1730823,22.9043723493457
hhx2,dpp,57.31320185,23.7928145570654
hhx2,dpp,60.49337952,25.1130230800312
hhx2,dpp,57.98323929,24.0709717013467
hhx2,dpp,59.46332197,24.6854083686006
hhx2,dpp,63.71355942,26.449837997502
hhx2,dpp,62.7735069,26.0595876788965
hhx2,dpp,50.71283312,21.0527591399531
hhx2,dpp,52.54293536,21.8125017788438
hhx1,col,33.611877758534,13.9535246437039
hhx1,col,30.8717246773563,12.8159864847111
hhx1,col,30.1116822168836,12.5004649515598
hhx1,col,32.7918319459188,13.6130935158301
hhx1,col,35.3419744119783,14.6717512915351
hhx1,col,26.4114755014247,10.9643732770074
hhx1,col,36.4420358679256,15.1284271947804
hhx1,col,32.6618246829432,13.5591227272648
hhx1,col,30.5817084753338,12.6955901102191
hhx1,col,30.7217162969998,12.7537124979049
hhx2,col,36.7720543047098,15.265429965754
hhx2,col,37.6321023520867,15.6224674901094
hhx2,col,35.6319906140008,14.7921476660271
hhx2,col,35.8120006704285,14.8668764501945
hhx2,col,34.7919436840047,14.4434133399125
hhx2,col,33.5318732890106,13.9203118507406
